"Input invariants"	"Petal permutation"	"Actual invariants"
"{14., 14.,  0., 65.}"	"{-0.5092, -0.4761, -0.5506, -0.6362, -0.7469, -0.7224, -0.7524, -0.6600, -0.4709, -0.6565, -0.5842, -0.6800, -0.7238, -0.6529, -0.7170, -0.9424, -0.3635, -0.5401, -0.7573, -0.2230, -0.4198, -0.3548, -0.5405, -0.3304, -0.3524}"	"{17, 10, 0, 713, {{-7, -1}, {-6, 5}, {-5, -15}, {-4, 33}, {-3, -57}, {-2, 84}, {-1, -106}, {0, 116}, {1, -111}, {2, 92}, {3, -64}, {4, 36}, {5, -12}, {6, -2}, {7, 7}, {8, -6}, {9, 3}, {10, -1}}, {{-5, 1}, {-4, -1}, {-3, -20}, {-2, 83}, {-1, -159}, {0, 193}, {1, -159}, {2, 83}, {3, -20}, {4, -1}, {5, 1}}}"
"{ 23.,  26., -18.,  91.}"	"{-0.7763, -0.7276, -0.8411, -0.9760, -1.1371, -1.1037, -1.1498, -1.0134, -0.7183, -1.0017, -0.8947, -1.0425, -1.1034, -0.9979, -1.0895, -1.4386, -0.5538, -0.8229, -1.1598, -0.3408, -0.6374, -0.5424, -0.8261, -0.5060, -0.5427}"	"{15, 8, 0, 309, {{-6, -1}, {-5, 3}, {-4, -5}, {-3, 6}, {-2, -1}, {-1, -8}, {0, 22}, {1, -38}, {2, 49}, {3, -55}, {4, 53}, {5, -43}, {6, 31}, {7, -17}, {8, 7}, {9, -2}}, {{-4, 2}, {-3, -14}, {-2, 39}, {-1, -63}, {0, 73}, {1, -63}, {2, 39}, {3, -14}, {4, 2}}}"
"{ 13.,   8.,   0., 229.}"	"{-1.7438, -1.6185, -1.8765, -2.1761, -2.5716, -2.4641, -2.5545, -2.2395, -1.6118, -2.2575, -1.9845, -2.3072, -2.4518, -2.2223, -2.4423, -3.2142, -1.2392, -1.8505, -2.5801, -0.7672, -1.4361, -1.2144, -1.8436, -1.1195, -1.2076}"	"{15, 10, -2, 55, {{-10, -1}, {-9, 4}, {-8, -8}, {-7, 14}, {-6, -20}, {-5, 22}, {-4, -21}, {-3, 15}, {-2, -6}, {-1, -3}, {0, 11}, {1, -13}, {2, 13}, {3, -9}, {4, 5}, {5, -2}}, {{-5, -1}, {-4, 3}, {-3, -1}, {-2, -7}, {-1, 16}, {0, -19}, {1, 16}, {2, -7}, {3, -1}, {4, 3}, {5, -1}}}"
"{ 10.,   8.,  -6., 135.}"	"{-1.0453, -0.9711, -1.1264, -1.3065, -1.5400, -1.4786, -1.5348, -1.3465, -0.9670, -1.3535, -1.1919, -1.3871, -1.4724, -1.3343, -1.4640, -1.9282, -0.7444, -1.1090, -1.5488, -0.4601, -0.8603, -0.7286, -1.1067, -0.6725, -0.7252}"	"{15, 10, -2, 55, {{-10, -1}, {-9, 4}, {-8, -8}, {-7, 14}, {-6, -20}, {-5, 22}, {-4, -21}, {-3, 15}, {-2, -6}, {-1, -3}, {0, 11}, {1, -13}, {2, 13}, {3, -9}, {4, 5}, {5, -2}}, {{-5, -1}, {-4, 3}, {-3, -1}, {-2, -7}, {-1, 16}, {0, -19}, {1, 16}, {2, -7}, {3, -1}, {4, 3}, {5, -1}}}"
"{1.9000e+01, 1.2000e+01, 2.0000e+00, 2.9470e+03}"	"{-22.4285, -20.7893, -24.1081, -27.9822, -33.1167, -31.6575, -32.7831, -28.7529, -20.7253, -29.0553, -25.4895, -29.6040, -31.4455, -28.5390, -31.3828, -41.3022, -15.9072, -23.8086, -33.1448,  -9.8819, -18.4703, -15.6129, -23.6830, -14.3610, -15.5430}"	"{15, 10, -2, 55, {{-10, -1}, {-9, 4}, {-8, -8}, {-7, 14}, {-6, -20}, {-5, 22}, {-4, -21}, {-3, 15}, {-2, -6}, {-1, -3}, {0, 11}, {1, -13}, {2, 13}, {3, -9}, {4, 5}, {5, -2}}, {{-5, -1}, {-4, 3}, {-3, -1}, {-2, -7}, {-1, 16}, {0, -19}, {1, 16}, {2, -7}, {3, -1}, {4, 3}, {5, -1}}}"
"{ 16.,   6.,   0., 113.}"	"{-0.8581, -0.7985, -0.9266, -1.0726, -1.2635, -1.2161, -1.2624, -1.1067, -0.7943, -1.1100, -0.9795, -1.1409, -1.2132, -1.0969, -1.2038, -1.5839, -0.6117, -0.9113, -1.2735, -0.3766, -0.7071, -0.5987, -0.9096, -0.5535, -0.5944}"	"{15, 10, -2, 55, {{-10, -1}, {-9, 4}, {-8, -8}, {-7, 14}, {-6, -20}, {-5, 22}, {-4, -21}, {-3, 15}, {-2, -6}, {-1, -3}, {0, 11}, {1, -13}, {2, 13}, {3, -9}, {4, 5}, {5, -2}}, {{-5, -1}, {-4, 3}, {-3, -1}, {-2, -7}, {-1, 16}, {0, -19}, {1, 16}, {2, -7}, {3, -1}, {4, 3}, {5, -1}}}"
"{  24.,   16.,   -8., 1541.}"	"{-11.7531, -10.8976, -12.6364, -14.6682, -17.3509, -16.5941, -17.1869, -15.0751, -10.8620, -15.2252, -13.3626, -15.5221, -16.4857, -14.9603, -16.4453, -21.6480,  -8.3381, -12.4758, -17.3758,  -5.1781,  -9.6767,  -8.1842, -12.4150,  -7.5298,  -8.1474}"	"{15, 10, -2, 55, {{-10, -1}, {-9, 4}, {-8, -8}, {-7, 14}, {-6, -20}, {-5, 22}, {-4, -21}, {-3, 15}, {-2, -6}, {-1, -3}, {0, 11}, {1, -13}, {2, 13}, {3, -9}, {4, 5}, {5, -2}}, {{-5, -1}, {-4, 3}, {-3, -1}, {-2, -7}, {-1, 16}, {0, -19}, {1, 16}, {2, -7}, {3, -1}, {4, 3}, {5, -1}}}"
"{ 12.,   6.,  -2., 155.}"	"{-1.1854, -1.1004, -1.2763, -1.4799, -1.7472, -1.6759, -1.7383, -1.5238, -1.0964, -1.5346, -1.3496, -1.5706, -1.6684, -1.5117, -1.6603, -2.1852, -0.8433, -1.2579, -1.7545, -0.5212, -0.9759, -0.8259, -1.2540, -0.7616, -0.8210}"	"{15, 10, -2, 55, {{-10, -1}, {-9, 4}, {-8, -8}, {-7, 14}, {-6, -20}, {-5, 22}, {-4, -21}, {-3, 15}, {-2, -6}, {-1, -3}, {0, 11}, {1, -13}, {2, 13}, {3, -9}, {4, 5}, {5, -2}}, {{-5, -1}, {-4, 3}, {-3, -1}, {-2, -7}, {-1, 16}, {0, -19}, {1, 16}, {2, -7}, {3, -1}, {4, 3}, {5, -1}}}"
"{ 11.,   6.,  -2., 139.}"	"{-1.0592, -0.9833, -1.1402, -1.3218, -1.5610, -1.4973, -1.5534, -1.3616, -0.9792, -1.3711, -1.2059, -1.4033, -1.4908, -1.3508, -1.4834, -1.9528, -0.7537, -1.1236, -1.5677, -0.4656, -0.8721, -0.7377, -1.1206, -0.6806, -0.7333}"	"{15, 10, -2, 55, {{-10, -1}, {-9, 4}, {-8, -8}, {-7, 14}, {-6, -20}, {-5, 22}, {-4, -21}, {-3, 15}, {-2, -6}, {-1, -3}, {0, 11}, {1, -13}, {2, 13}, {3, -9}, {4, 5}, {5, -2}}, {{-5, -1}, {-4, 3}, {-3, -1}, {-2, -7}, {-1, 16}, {0, -19}, {1, 16}, {2, -7}, {3, -1}, {4, 3}, {5, -1}}}"
"{  25.,   20.,    4., 2541.}"	"{-19.3519, -17.9404, -20.8025, -24.1443, -28.5717, -27.3169, -28.2896, -24.8118, -17.8822, -25.0675, -21.9961, -25.5465, -27.1372, -24.6267, -27.0804, -35.6400, -13.7256, -20.5421, -28.6017,  -8.5255, -15.9365, -13.4719, -20.4359, -12.3937, -13.4108} "	"{15, 10, -2, 55, {{-10, -1}, {-9, 4}, {-8, -8}, {-7, 14}, {-6, -20}, {-5, 22}, {-4, -21}, {-3, 15}, {-2, -6}, {-1, -3}, {0, 11}, {1, -13}, {2, 13}, {3, -9}, {4, 5}, {5, -2}}, {{-5, -1}, {-4, 3}, {-3, -1}, {-2, -7}, {-1, 16}, {0, -19}, {1, 16}, {2, -7}, {3, -1}, {4, 3}, {5, -1}}}"
