"Input invariants"	"Petal permutation"	"Actual invariants"
"{ 7.,  6.,  4., 13.}"	"{-2.1771, -3.2669, -3.3346, -3.7226, -4.6725, -4.0571, -4.6363, -4.8183,-3.2072, -4.0768, -3.7085, -4.3387, -3.9133, -3.7591, -4.3511, -4.6566,-3.1312, -3.5261, -4.4494, -2.8288, -3.7042, -2.9093, -3.5423, -2.4424,-3.0559}"	"{17, 12, 0, 129, {{-8, 2}, {-7, -4}, {-6, 6}, {-5, -5}, {-4, -3}, {-3, 12}, {-2, -19}, {-1, 19}, {0, -10}, {1, -3}, {2, 19}, {3, -32}, {4, 39}, {5, -36}, {6, 26}, {7, -14}, {8, 5}, {9, -1}}, {{-6, -1}, {-5, 3}, {-4, -3}, {-3, -3}, {-2, 16}, {-1, -32}, {0, 41}, {1, -32}, {2, 16}, {3, -3}, {4, -3}, {5, 3}, {6, -1}}}"
"{10.,  6.,  4., 41.}"	"{-4.3611, -6.5013, -6.6526, -7.4584, -9.3453, -8.0985, -9.2215, -9.5913,-6.3826, -8.1418, -7.3997, -8.6254, -7.7982, -7.4839, -8.6614, -9.2838,-6.2209, -7.0570, -8.8649, -5.6497, -7.3706, -5.7913, -7.0557, -4.8636,-6.0635}"	"{18, 10, 0, 249, {{-10, 2}, {-9, -4}, {-8, 5}, {-7, -2}, {-6, -5}, {-5, 7}, {-4, -1}, {-3, -13}, {-2, 30}, {-1, -45}, {0, 54}, {1, -52}, {2, 42}, {3, -24}, {4, 6}, {5, 5}, {6, -7}, {7, 4}, {8, -1}}, {{-5, -2}, {-4, 8}, {-3, -18}, {-2, 30}, {-1, -42}, {0, 49}, {1, -42}, {2, 30}, {3, -18}, {4, 8}, {5, -2}}}"
"{  21.,   12.,    0., 7081.}"	"{ -608.6268,  -903.2157,  -924.9998, -1039.5209, -1302.0657, -1126.9178,-1280.0587, -1332.1345,  -886.3143, -1133.2222, -1029.6592, -1197.3636,-1083.1345, -1039.5350, -1203.3713, -1291.1996,  -862.4258,  -983.4144,-1232.0287,  -787.5284, -1023.8698,  -804.2130,  -980.4975,  -675.7902, -840.4845}"	"{18, 10, 0, 249, {{-10, 2}, {-9, -4}, {-8, 5}, {-7, -2}, {-6, -5}, {-5, 7}, {-4, -1}, {-3, -13}, {-2, 30}, {-1, -45}, {0, 54}, {1, -52}, {2, 42}, {3, -24}, {4, 6}, {5, 5}, {6, -7}, {7, 4}, {8, -1}}, {{-5, -2}, {-4, 8}, {-3, -18}, {-2, 30}, {-1, -42}, {0, 49}, {1, -42}, {2, 30}, {3, -18}, {4, 8}, {5, -2}}}"
"{ 25.,  16.,   6., 723.}"	"{ -63.7133,  -94.6096,  -96.8847, -108.8455, -136.3407, -118.0197,-134.0942, -139.5446,  -92.8417, -118.6729, -107.8337, -125.4332,-113.4552, -108.8887, -126.0463, -135.2292,  -90.3606, -102.9703,-129.0462,  -82.4560, -107.2469,  -84.2426, -102.7013,  -70.7836, -88.0633}"	"{18, 10, 0, 249, {{-10, 2}, {-9, -4}, {-8, 5}, {-7, -2}, {-6, -5}, {-5, 7}, {-4, -1}, {-3, -13}, {-2, 30}, {-1, -45}, {0, 54}, {1, -52}, {2, 42}, {3, -24}, {4, 6}, {5, 5}, {6, -7}, {7, 4}, {8, -1}}, {{-5, -2}, {-4, 8}, {-3, -18}, {-2, 30}, {-1, -42}, {0, 49}, {1, -42}, {2, 30}, {3, -18}, {4, 8}, {5, -2}}}"
"{16.,  6., -2., 39.}"	"{-4.4990, -6.7144, -6.8706, -7.7011, -9.6483, -8.3620, -9.5268, -9.9104,-6.5906, -8.4060, -7.6419, -8.9114, -8.0548, -7.7299, -8.9458, -9.5861,-6.4285, -7.2855, -9.1581, -5.8330, -7.6109, -5.9820, -7.2877, -5.0239,-6.2664}"	"{17, 12, 0, 129, {{-8, 2}, {-7, -4}, {-6, 6}, {-5, -5}, {-4, -3}, {-3, 12}, {-2, -19}, {-1, 19}, {0, -10}, {1, -3}, {2, 19}, {3, -32}, {4, 39}, {5, -36}, {6, 26}, {7, -14}, {8, 5}, {9, -1}}, {{-6, -1}, {-5, 3}, {-4, -3}, {-3, -3}, {-2, 16}, {-1, -32}, {0, 41}, {1, -32}, {2, 16}, {3, -3}, {4, -3}, {5, 3}, {6, -1}}}"
"{ 21.,  14.,   4., 337.}"	"{-30.3929, -45.1529, -46.2361, -51.9303, -65.0512, -56.3163, -64.0032,-66.6023, -44.3104, -56.6268, -51.4571, -59.8697, -54.1474, -51.9688,-60.1560, -64.5311, -43.1352, -49.1276, -61.5861, -39.3389, -51.1845,-40.2071, -49.0138, -33.7808, -42.0395}"	"{18, 10, 0, 249, {{-10, 2}, {-9, -4}, {-8, 5}, {-7, -2}, {-6, -5}, {-5, 7}, {-4, -1}, {-3, -13}, {-2, 30}, {-1, -45}, {0, 54}, {1, -52}, {2, 42}, {3, -24}, {4, 6}, {5, 5}, {6, -7}, {7, 4}, {8, -1}}, {{-5, -2}, {-4, 8}, {-3, -18}, {-2, 30}, {-1, -42}, {0, 49}, {1, -42}, {2, 30}, {3, -18}, {4, 8}, {5, -2}}}"
"{ 2.0000e+01,  1.4000e+01, -2.0000e+00,  2.1230e+03}"	"{-183.5676, -272.4502, -279.0177, -313.5431, -392.7358, -339.9153,-386.1331, -401.8398, -267.3522, -341.8145, -310.5823, -361.1878,-326.7214, -313.5718, -362.9898, -389.4723, -260.1609, -296.6198,-371.6331, -237.5356, -308.8444, -242.5895, -295.7610, -203.8471,-253.5435}"	"{18, 10, 0, 249, {{-10, 2}, {-9, -4}, {-8, 5}, {-7, -2}, {-6, -5}, {-5, 7}, {-4, -1}, {-3, -13}, {-2, 30}, {-1, -45}, {0, 54}, {1, -52}, {2, 42}, {3, -24}, {4, 6}, {5, 5}, {6, -7}, {7, 4}, {8, -1}}, {{-5, -2}, {-4, 8}, {-3, -18}, {-2, 30}, {-1, -42}, {0, 49}, {1, -42}, {2, 30}, {3, -18}, {4, 8}, {5, -2}}}"
"{  20.,   14.,    0., 2789.}"	"{-240.7024, -357.2358, -365.8486, -411.1256, -514.9644, -445.7014,-506.2921, -526.8871, -350.5522, -448.1926, -407.2380, -473.5840,-428.3960, -411.1540, -475.9523, -510.6801, -341.1161, -388.9357,-487.2840, -311.4628, -404.9561, -318.0815, -387.8011, -267.2842,-332.4386}"	"{18, 10, 0, 249, {{-10, 2}, {-9, -4}, {-8, 5}, {-7, -2}, {-6, -5}, {-5, 7}, {-4, -1}, {-3, -13}, {-2, 30}, {-1, -45}, {0, 54}, {1, -52}, {2, 42}, {3, -24}, {4, 6}, {5, 5}, {6, -7}, {7, 4}, {8, -1}}, {{-5, -2}, {-4, 8}, {-3, -18}, {-2, 30}, {-1, -42}, {0, 49}, {1, -42}, {2, 30}, {3, -18}, {4, 8}, {5, -2}}}"
"{2.4000e+01, 1.4000e+01, 2.0000e+00, 2.4830e+03}"	"{-214.5081, -318.3743, -326.0488, -366.3928, -458.9331, -397.2118,-451.2170, -469.5708, -312.4189, -399.4303, -362.9313, -422.0683,-381.7942, -366.4263, -424.1736, -455.1208, -304.0136, -346.6169,-434.2747, -277.5721, -360.9035, -283.4794, -345.6136, -238.2072,-296.2804}"	"{18, 10, 0, 249, {{-10, 2}, {-9, -4}, {-8, 5}, {-7, -2}, {-6, -5}, {-5, 7}, {-4, -1}, {-3, -13}, {-2, 30}, {-1, -45}, {0, 54}, {1, -52}, {2, 42}, {3, -24}, {4, 6}, {5, 5}, {6, -7}, {7, 4}, {8, -1}}, {{-5, -2}, {-4, 8}, {-3, -18}, {-2, 30}, {-1, -42}, {0, 49}, {1, -42}, {2, 30}, {3, -18}, {4, 8}, {5, -2}}}"
"{ 7.,  4.,  4., 13.}"	"{-2.0365, -3.0537, -3.1176, -3.4821, -4.3689, -3.7938, -4.3333, -4.5020,-2.9978, -3.8122, -3.4662, -4.0548, -3.6593, -3.5130, -4.0659, -4.3528,-2.9262, -3.2974, -4.1600, -2.6436, -3.4621, -2.7199, -3.3115, -2.2827,-2.8553}"	"{17, 12, 0, 129, {{-8, 2}, {-7, -4}, {-6, 6}, {-5, -5}, {-4, -3}, {-3, 12}, {-2, -19}, {-1, 19}, {0, -10}, {1, -3}, {2, 19}, {3, -32}, {4, 39}, {5, -36}, {6, 26}, {7, -14}, {8, 5}, {9, -1}}, {{-6, -1}, {-5, 3}, {-4, -3}, {-3, -3}, {-2, 16}, {-1, -32}, {0, 41}, {1, -32}, {2, 16}, {3, -3}, {4, -3}, {5, 3}, {6, -1}}}"
"{2.5000e+01, 1.4000e+01, 0.0000e+00, 1.6529e+04}"	"{-1419.1608, -2106.0134, -2156.8113, -2423.8704, -3036.0452, -2627.6340,-2984.6755, -3106.1040, -2066.6030, -2642.3403, -2400.8560, -2791.8555,-2525.5244, -2423.8640, -2805.8821, -3010.6877, -2010.8781, -2293.0457,-2872.7021, -1836.2982, -2387.3401, -1875.1649, -2286.2109, -1575.7307,-1959.7181}"	"{20, 14, 0, 405, {{-9, -1}, {-8, 7}, {-7, -15}, {-6, 18}, {-5, -9}, {-4, -11}, {-3, 25}, {-2, -19}, {-1, -8}, {0, 46}, {1, -82}, {2, 106}, {3, -107}, {4, 86}, {5, -46}, {6, 3}, {7, 23}, {8, -27}, {9, 17}, {10, -6}, {11, 1}}, {{-7, 1}, {-6, -7}, {-5, 16}, {-4, -13}, {-3, -14}, {-2, 59}, {-1, -104}, {0, 125}, {1, -104}, {2, 59}, {3, -14}, {4, -13}, {5, 16}, {6, -7}, {7, 1}}}"
"{ 5.,  4., -4.,  5.}"	"{-1.3383, -2.0111, -2.0528, -2.2937, -2.8767, -2.4972, -2.8575, -2.9707,-1.9737, -2.5102, -2.2846, -2.6731, -2.4100, -2.3165, -2.6809, -2.8673,-1.9314, -2.1715, -2.7401, -1.7426, -2.2810, -1.7931, -2.1806, -1.5047,-1.8847}"	"{17, 12, 0, 129, {{-8, 2}, {-7, -4}, {-6, 6}, {-5, -5}, {-4, -3}, {-3, 12}, {-2, -19}, {-1, 19}, {0, -10}, {1, -3}, {2, 19}, {3, -32}, {4, 39}, {5, -36}, {6, 26}, {7, -14}, {8, 5}, {9, -1}}, {{-6, -1}, {-5, 3}, {-4, -3}, {-3, -3}, {-2, 16}, {-1, -32}, {0, 41}, {1, -32}, {2, 16}, {3, -3}, {4, -3}, {5, 3}, {6, -1}}}"
